"Month","Year","Quarter","Chl_a","Depth","DO","DO_p","N","pH","Phosphorus","Salinity","Secchi","Temp","MonYr","Per_Secchi"
1,2002,1,7.91563581730449,3.67699342105263,7.47048451223393,NA,0.0343291139240506,7.90701074894082,0.103126582278481,28.5181088544771,1.85714285714286,17.0062897992063,"1/2002",50.5071030725751
1,2003,1,7.8007841530082,3.828125,8.2059552114662,NA,0.032578431372549,8.06045646020513,0.130614583333333,21.4107241549396,1.66210317460317,15.1306854810256,"1/2003",43.4182053773891
1,2004,1,6.206946,3.82461538461538,7.86781947403625,92.8755882352288,0.192060606060606,8.04481945628714,0.129944444444444,26.4088291694717,1.80512820512821,17.3009716952452,"1/2004",47.1976401179941
1,2005,1,5.77058157894386,4.18688524590164,7.80509406491418,91.0343333338,0.182793388429752,8.06265203302176,0.134418604651163,25.0868571752781,1.82549289891395,16.8412151177637,"1/2005",43.6002610938728
1,2006,1,4.23648648648649,3.113791666675,7.72008274231058,93.6872549009804,0.220375,7.96430704899612,0.11025,27.2542771804869,2.45139534883721,18.2064657210313,"1/2006",78.7270187364488
1,2007,1,4.94868421052632,3.02530516432394,7.17283083645443,90.0759999984667,0.18370297029703,8.00311419754198,0.0913837209302326,26.5786234571605,1.7208,20.5951029959551,"1/2007",56.880212293709
1,2008,1,3.54444444444444,3.60471428571429,7.6503561643653,94.2107843132026,0.18873,8.08775675676577,0.103021739130435,31.6240045661644,2.613,16.5745495495045,"1/2008",72.4884080370943
1,2009,1,4.4825974025974,3.36264227642683,7.53887074829615,90.2903846146154,0.34476,7.99270723102822,0.10085,31.8567475292318,1.9126582278481,17.3835861676417,"1/2009",56.8796223510432
1,2010,1,3.85516129032258,3.80074358973846,9.41198113209748,86.9608974355769,0.376772727272727,8.00466666665714,0.0934924242424242,27.9661111111429,2.09180555555556,12.9667924526667,"1/2010",55.0367449465197
1,2011,1,6.8494,3.90290476191429,7.1820282738125,93.9176100622641,0.304967213114754,8.11849255951786,0.0868333333333333,28.5345133928571,2.14539473684211,15.3127212388496,"1/2011",54.9691798215911
1,2012,1,5.74125,3.83989743589231,7.59060966813564,88.7122641510063,0.275463768115942,8.00722587718421,0.0773308823529412,26.9775541125108,2.33026666666667,17.704872076155,"1/2012",60.6856486552268
1,2013,1,5.87904761904762,4.16,5.96187500003431,73.0805970147761,0.171414285714286,8.13553921568627,0.101872727272727,26.5211714976812,2.87647058823529,18.5028260868599,"1/2013",69.14592760181
1,2014,1,5.32520833333333,4.35094339622642,7.35144973543915,87.2644086019892,0.302924242424242,8.19008994708995,0.0904916666666667,25.7213227514286,2.68387096774194,16.2860161290323,"1/2014",61.6848054164452
1,2015,1,5.82258620689655,4.01311475409836,7.26224014335842,91.5410447759701,0.200076923076923,7.82574468084752,0.118216666666667,26.1310638297872,2.37573529411765,18.3923297489247,"1/2015",59.1992863321799
