"Year","Month","PV","Tempadj","Saladj","PerSecadj","CHlaadj","DOadj","DOpadj","Nadj","pHadj","Phosadj","FBCAdj","BFDM_Adj","SFDM_Adj"
2003,1,0,22.3844540203797,23.041755344361,63.9596078141203,11.7093647278161,7.11089384860677,89.9427950464408,0.0763039776566051,8.07262793098962,0.165732385617108,7.45188634259259,40294.8040069444,3.30304156124195
2004,1,0.699,24.2195971274894,28.5283078516271,68.2743251844228,10.115526574808,6.77275811117682,89.9306471909455,0.235786152344662,8.05699092707163,0.165062246728219,11.4028863425926,70973.8840069444,2.89640553146672
2005,1,0.097,23.8772188387487,27.8548218545303,67.1756356723621,9.67916215375181,6.71003270205475,88.0893922895168,0.226518934713808,8.07482350380625,0.169536406934937,16.1678863425926,53982.1040069444,2.66098288503391
2006,1,0,25.2973441403825,29.5260318571346,84.7390144936502,8.14506706129444,6.62502137945115,90.7423138566972,0.264100546284056,7.97647851978061,0.145367802283774,18.1448863425926,80844.0940069444,3.04110348134771
2007,1,0.255,27.6166627778444,29.0832049954715,73.8156112722802,8.85726478533427,6.077769473595,87.1310589541834,0.227428516581086,8.01528566832646,0.126501523214007,12.8958863425926,87616.5340069445,3.09956306644616
2008,1,0,23.9855527212858,33.4275622166401,81.6197091439729,7.4530250192524,6.55529480150587,91.2658432689194,0.232455546284056,8.09992822755025,0.138139541414209,11.5398863425926,33554.8340069444,3.25437986915422
2009,1,0,22.656737697021,34.0272670315071,60.181982967614,8.39117797740536,6.44380938543672,87.3454435703322,0.388485546284056,8.00487870181271,0.135967802283774,13.9168863425926,37435.5340069444,3.02849999669814
2010,1,0,19.1316741728668,30.115282155796,71.0438775986856,7.76374186513053,8.31691976923805,84.0159563912937,0.420498273556783,8.01683813744163,0.128610226526199,12.0558863425926,25743.1640069444,3.15046508206647
2011,1,0,20.4713052326249,30.2994832966531,67.3100950362213,10.757980574808,6.08696691095307,90.9726690179809,0.34869275939881,8.13066403030235,0.121951135617108,12.2108863425926,73281.5440069444,2.67042582170412
2012,1,0,25.1173806512777,28.57100365648,66.2683294530391,9.64983057480795,6.49554830527621,85.7673231067231,0.319189314399998,8.0193973479687,0.112448684636715,16.2448863425926,37463.4440069444,2.97561498314932
2013,1,0,27.7163576566301,29.9094790157318,73.2818022596641,9.78762819385557,4.86681363717488,70.1356559704929,0.215139831998342,8.14771068647076,0.136990529556502,10.3118863425926,39830.7440069444,2.57852308340536
2014,1,0,24.2412860110496,28.3428879759388,74.7012411669817,9.23378890814129,6.25638837257972,84.319467557706,0.346649788708299,8.20226141787444,0.125609468950441,10.7398863425926,43339.5940069444,2.68630784235018
2015,1,0,25.2444428209959,28.6310918484515,71.1251482915157,9.73116678170451,6.16717878049899,88.5961037316869,0.243802469360979,7.83791615163201,0.153334468950441,18.9148863425926,34119.8340069444,2.78746252063143
2016,1,0,22.5840265342454,24.7346432670023,73.3344486799643,10.6260382019266,6.65754974825168,91.0442402416232,0.301739630791098,8.16833813744005,0.160959907546932,12.8068863425926,26387.8340069444,3.0673447126465
2017,1,0,27.3220268500204,30.7278406351807,54.8447592939701,10.5004324266598,6.35315135644759,91.05663790367,0.183593016163574,8.01633813743361,0.147069725360697,13.7888863425926,50737.6340069444,2.77679151590102
2003,2,0.599,24.7907835619321,25.122345056079,70.0930597722014,9.37243130991654,6.92733477593873,88.5115714161818,0.0621710098426844,8.00485894878024,0.175997805924551,13.6657724537037,40165.3102569444,3.23691977770539
2004,2,0.176,23.2125869528692,28.5614110521478,71.3000862482075,10.5956545799063,7.27850685476538,86.3236874267807,0.234026892195626,8.02184111211664,0.132894923504459,14.2497724537037,66109.8952569444,3.16011181291334
2005,2,0.703,24.6481079044463,29.3007661899657,49.3448523526201,9.97425680753566,6.98966536950238,90.2826416750814,0.201020011461681,8.0383784331835,0.147733003292972,13.5627724537037,51415.5302569444,2.62655768426958
2006,2,0.301,21.7436250608433,29.2609652761195,81.6349771218071,8.34117094895397,7.15148472349627,83.683351831327,0.225961358215043,8.24928461667987,0.129209250729745,17.4047724537037,77965.2402569444,2.87246948262211
